,Date,Title,Link
0,04:20PM,UPDATE 2-Jordan's Arab Bank group H1 net profits drop 66%,https://www.reuters.com/article/arab-bank-jo-results/update-2-jordans-arab-bank-group-h1-net-profits-drop-66-idUSL5N2EW0DD
1,03:54PM,"Regis Philbin, television personality, has died at 88",https://www.cnn.com/2020/07/25/entertainment/regis-philbin-dies/index.html
2,03:43PM,"Argentina says it will not raise 'last' debt offer, willing to tweak legal terms",https://www.reuters.com/article/argentina-debt-proposal/argentina-says-it-will-not-raise-last-debt-offer-willing-to-tweak-legal-terms-idUSL2N2EW06T
3,03:31PM,How will the market react to a coronavirus vaccine?,https://video.foxbusiness.com/v/6174906320001/
4,03:22PM,Police review reports of anti-Semitic posts from British rapper,https://www.cnn.com/2020/07/25/entertainment/wiley-grime-artist-police-scli-intl-gbr/index.html
5,01:50PM,UPDATE 1-Jordan's Arab Bank group H1 net profits drop 66% to $152.1 mln,https://www.reuters.com/article/arab-bank-jo-results/update-1-jordans-arab-bank-group-h1-net-profits-drop-66-to-152-1-mln-idUSL5N2EW0DD
6,01:24PM,Jordan's Arab Bank group H1 net profits drop 66% to $152.1 mln,https://www.reuters.com/article/arab-bank-jo-results/jordans-arab-bank-group-h1-net-profits-drop-66-to-152-1-mln-idUSL2N2EW059
7,12:56PM,"Zaldivar Copper Miners Accept Wage Deal, Averting Chile Strike",https://www.bloomberg.com/news/articles/2020-07-25/zaldivar-copper-miners-accept-wage-deal-averting-chile-strike?srnd=markets-vp
8,12:22PM,Smithfield Foods says not all plant workers can be socially distanced,https://www.foxbusiness.com/markets/smithfield-foods-says-not-all-plant-workers-can-be-socially-distanced
9,11:42AM,Tata Proposes Almost 1 Billion-Pound U.K. Rescue: Sky,https://www.bloomberg.com/news/articles/2020-07-25/tata-steel-proposes-u-k-rescue-of-almost-1-billion-pounds-sky?srnd=markets-vp
10,11:29AM,"Coronavirus tally: Global cases of COVID-19 top 15.7 million, 640,601 deaths and U.S. death toll above 145,000",http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/WfWGBjhQbwE/story.aspx
11,11:29AM,Chevron to improve diversity ratio amid company layoffs,https://www.foxbusiness.com/markets/chevron-to-improve-diversity-ratio-amid-company-layoffs
12,11:24AM,"Once a Source of U.S.-China Tension, Trade Emerges as an Area of Calm",https://www.nytimes.com/2020/07/25/business/economy/us-china-trade-diplomacy.html
13,11:16AM,Intel ‘stunning failure’ heralds end of era for US chip sector,https://finance.yahoo.com/news/intel-stunning-failure-heralds-end-030711424.html
14,10:47AM,"Lloyds Ethnic Diversity Plan Is ‘Credit Positive,’ Moody’s Says",https://www.bloomberg.com/news/articles/2020-07-25/lloyds-ethnic-diversity-plan-is-credit-positive-moody-s-says?srnd=markets-vp
15,10:24AM,The polls show Biden is a clear favorite 100 days out from an unprecedented election,https://www.cnn.com/2020/07/25/politics/2020-election-100-days-analysis/index.html
16,10:14AM,The Message Behind Gold’s Rally: The World Economy Is in Trouble,https://www.bloomberg.com/news/articles/2020-07-25/the-message-behind-gold-s-rally-the-world-economy-is-in-trouble
17,09:59AM,"Canada in Talks With U.S. on Pipelines, 0’Regan Tells Globe",https://www.bloomberg.com/news/articles/2020-07-25/canada-in-talks-with-u-s-on-pipelines-0-regan-tells-globe?srnd=markets-vp
18,09:03AM,Wells Fargo Still Has a Way to Go,https://www.wsj.com/articles/wells-fargo-still-has-a-way-to-go-11595682180
19,07:59AM,Fauci tells MarketWatch: ‘I’m not going to restaurants right now’,https://www.marketwatch.com/story/anthony-fauci-tells-marketwatch-i-would-not-get-on-a-plane-or-eat-inside-a-restaurant-2020-07-24
20,07:21AM,Why is gold a safe haven during market turmoil?,https://www.foxbusiness.com/markets/why-is-gold-a-safe-haven
21,07:00AM,Beware the Lure of Free Money,https://www.wsj.com/articles/beware-the-lure-of-free-money-11595674800
22,07:00AM,Bond Market Eyeing Record-Low Yields Set for Nudge From the Fed,https://www.bloomberg.com/news/articles/2020-07-25/bond-market-eyeing-record-low-yields-set-for-nudge-from-the-fed?srnd=markets-vp
23,06:43AM,Wells Fargo Tightens Purse Strings to Ride Out Pandemic,https://www.wsj.com/articles/wells-fargo-tightens-purse-strings-to-ride-out-coronavirus-pandemic-11595669400
24,06:19AM,Singapore's Lim family seeks to halt law firm from taking court role,https://www.reuters.com/article/singapore-oil-ocean-tankers/singapores-lim-family-seeks-to-halt-law-firm-from-taking-court-role-idUSL3N2EV0PU
25,06:03AM,Chinese electric vehicle maker Li Auto aims to raise up to $950 mln in growth push,https://www.reuters.com/article/li-auto-ipo/chinese-electric-vehicle-maker-li-auto-aims-to-raise-up-to-950-mln-in-growth-push-idUSL5N2EW04U
26,05:30AM,"Visa, Mastercard Debit Fees Are Hurting Retailers, Durbin Says",https://www.wsj.com/articles/visa-mastercard-debit-fees-are-hurting-retailers-sen-richard-durbin-says-11595669401
27,05:00AM,Corporate Insiders Pocket $1 Billion in Rush for Coronavirus Vaccine,https://www.nytimes.com/2020/07/25/business/coronavirus-vaccine-profits-vaxart.html
28,05:00AM,The Great Au Pair Rush,https://www.nytimes.com/2020/07/25/business/the-great-au-pair-rush.html
29,05:00AM,Elon Musk: The Maureen Dowd Interview,https://www.nytimes.com/2020/07/25/style/elon-musk-maureen-dowd.html
30,05:00AM,The Retirement Savings Coach You Already Know,https://www.nytimes.com/2020/07/25/business/retirement-savings-mentor.html
31,04:54AM,"Asia-Pacific Group Aims to Facilitate Movement of People, Goods",https://www.bloomberg.com/news/articles/2020-07-25/asia-pacific-group-aims-to-facilitate-movement-of-people-goods?srnd=markets-vp
